469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
469455, kayn, python, , 
474200, kayn, bash, 278755, bash
474201, kayn, sleep, 474200, bash
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
